2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:124 - Max: 5; Active: 1; Idle: 0
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:509 - type: class java.lang.String
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:509 - type: class java.lang.String
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:528 - returned pk id: 1
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:613 - INSERT INTO users (first_name,last_name) VALUES (?,?) RETURNING user_id;
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:124 - Max: 5; Active: 0; Idle: 0
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:124 - Max: 5; Active: 1; Idle: 0
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:509 - type: class java.lang.String
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:509 - type: class java.lang.String
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:528 - returned pk id: 2
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:432 - clazz 2: com.ormv.demomodels.DemoUser
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:466 - Select * FROM users WHERE user_id = ? ;
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:124 - Max: 5; Active: 0; Idle: 0
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:124 - Max: 5; Active: 1; Idle: 0
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:760 - UPDATE users SET first_name = ?,last_name = ? WHERE user_id=?;
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:124 - Max: 5; Active: 0; Idle: 0
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:124 - Max: 5; Active: 1; Idle: 0
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:636 - type: class java.lang.String
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:636 - type: class java.lang.String
2022-01-10 07:56:49 WARN  ormv.util.ConnectionUtil:691 - org.postgresql.util.PSQLException: No results were returned by the query.
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:373 - Class Name : DemoUser
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:391 - DELETE FROM users WHERE user_id = ?;
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:393 - pkf value: 1
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:124 - Max: 5; Active: 0; Idle: 0
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:124 - Max: 5; Active: 1; Idle: 0
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:89 - pkf value: 1
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:403 - Class Name : DemoUser
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:409 - TRUNCATE users ;
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:124 - Max: 5; Active: 0; Idle: 0
2022-01-10 07:56:49 INFO  ormv.util.ConnectionUtil:124 - Max: 5; Active: 1; Idle: 0
